Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
8cd6fe9d-058f-47a3-955f-a7db4885df84,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Newborn 0 - <3 mo,0,107,120,160,181,230,$patient.getAgeInMonths() < 3
85c0b9ff-dff5-4858-91b3-29c539be68ab,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Infant 3 - <6 mo,0,104,120,160,175,230,$patient.getAgeInMonths() >= 3 && $patient.getAgeInMonths() < 6
f8f0aca7-e143-4556-9cac-a1f161f04fe9,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Infant 6 - <9 mo,0,98,114,152,168,230,$patient.getAgeInMonths() >= 6 && $patient.getAgeInMonths() < 9
4b7d0f61-cd4e-4873-94e2-7fe7e69dfb96,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Infant 9 - <12 mo,0,93,109,145,161,230,$patient.getAgeInMonths() >= 9 && $patient.getAgeInMonths() < 12
d44723a5-a314-4cfa-9b81-5ab6ec916f69,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Toddler 12 - <18 mo,0,88,103,140,156,230,$patient.getAgeInMonths() >= 12 && $patient.getAgeInMonths() < 18
52b1030b-4485-4a46-aec7-db5b53be510c,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Toddler 18mo - 2yrs,0,82,98,135,149,230,$patient.getAgeInMonths() >= 18 && $patient.getAge() < 2
10a492ec-4760-4893-ac84-8872c62f49fc,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Toddler 2 - <3yrs,0,76,92,128,142,230,$patient.getAge() >= 2 && $patient.getAge() < 3
a0172663-362d-4a63-b5c2-52e84109c839,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Preschool 3 - <4yrs,0,70,86,123,136,230,$patient.getAge() >= 3 && $patient.getAge() < 4
2ea47a0e-afc8-4e04-aa8c-b63726fb7d18,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Preschool 4 - <6 yrs,0,65,81,117,131,230,$patient.getAge() >= 4 && $patient.getAge() < 6
5201349f-c131-4efe-96eb-bc72ceddcdd2,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse School-age 6 - <8,0,59,74,111,123,230,$patient.getAge() >= 6 && $patient.getAge() < 8
5607ab88-b7f0-498c-b92e-be12ebbf8e7d,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse School-age 8 - <12,0,52,67,103,115,230,$patient.getAge() >= 8 && $patient.getAge() < 12
e02fb235-0eb3-4c1b-a8e5-d9e33d58816c,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Adolescent 12 - <18,0,47,62,96,108,230,$patient.getAge() >= 12 && $patient.getAge() < 18
9f5c3fde-96cb-4980-8c3d-2b352b6d4353,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulse Adult,0,45,60,100,110,230,$patient.getAge() >= 18
