Uuid,Privilege name,Description,_order:1000
77258d91-71a3-4808-888f-31cbb838d15c,o3: Manage Bills,,
664dbb64-4737-4201-93aa-b00ddb2943e5,o3: View Billing,,
39310515-aab8-4b46-affd-d9ef1aa1e5fd,o3: Search Bill,,
c70b6a91-c94c-4324-8597-a21d2d0ae857,o3: View Patient Chart Bill History,,
6dd2de41-d7b3-43b3-aa16-a483dca9fc3a,o3: Edit Bill,,
f6767cba-74d4-451c-9695-3ff923ef69a5,o3: Delete Bill,,
01786417-a5ad-4921-b4e8-7ebdefd527bb,o3: Refund Bill,,
ad35f6cb-e291-48bf-bcb4-41609060a49d,o3: Waive Bill,,
8da8cdfe-e579-4e6c-9e99-94c7aa77dc46,o3: Add Bill Item,,
3036254a-8ba2-4d42-aa85-1d7126d5b3a5,o3: Add Billable Service,,
39a9df4b-3259-43da-8d38-38de4b148559,o3: Edit Billable Service,,
5c105f4b-d276-4704-a0b7-fcec18c7bc43,o3: Delete Billable Service,,
968df57b-b30a-498e-94c3-43f143ef920d,o3: View Claims Dashboard,,
93eaeffd-8248-45e3-a9fd-ff6f8c3a48f1,o3: Edit Claims,,
e0013523-28f8-42ef-a9b6-18275f303225,o3: Delete Claims,,
0f4229f8-fa5e-44f8-8388-80037ca9022d,o3: Verify Claims,,
