Uuid,Privilege name,Description,_order:1000
2d56e5d7-d262-4e21-90b9-04eca13505b2c,o3: View Medication Order Form,,
265dbb5a-345a-4b24-aa72-b77c6c63a17b,o3: View Lab Order Form,,
395bb13b-bdea-422d-9101-5db05245c30b,o3: View Procedure Order Form,,
a77ed5f2-114a-4c9a-b2de-8d31a9dacc06,o3: View Imaging Order Form,,
08b20994-e509-4218-ab17-93d61c0bb783,o3: View Procedure Orders Dashboard,,
3627bfe6-89fd-4f0b-8d09-2f7a04f4b985,o3: View Imaging Orders Dashboard,,
a9c49b71-f2e2-4478-9105-422da7cf7e5d,o3: View Lab Orders Dashboard,,
301378f2-b867-47b6-a500-e4ba02ed6e45,o3: Pick Lab Order,,
aa2403ed-ab70-43b4-8267-29ccd167550b,o3: Pick Procedure Order,,
1f864184-8f10-4338-88f1-2628142486eb,o3: Pick Radiology Order,,
6cb988e0-27a5-4f21-8142-0f99402fab8b,o3: Manage Procedures,,
765ae3d8-9b11-43f9-a4aa-2e1d0117b05c,o3: View Labs,,
