Uuid,Privilege name,Description,_order:1000
045c5d7d-5cbc-4e22-94d7-d60f448da51d,o3: View Patient Chart,,
ea197970-bb3e-435c-8594-646847d2ed77,o3: View Medications,,
5ae22386-67d2-45c5-9415-a8aa364d5e0b,o3: View Orders,,
9e0742b6-0310-4cf3-b6a1-74e6394fce13,o3: View Visits,,
4bc360e0-6555-4f78-8f58-6260eef3b265,o3: View Allergies,,
89ddfb5d-2181-4b39-8166-0677e3bc590c,o3: View Conditions,,
46249d44-ed16-48d7-b33c-fad6770bf309,o3: View Immunizations,,
40eea302-74cc-4905-9acf-92d26a51a422,o3: View Attachments,,
045fac70-2a25-4c54-a4c2-592c84351d19,o3: View Investigative Results,,
d64e579a-1694-4420-a34d-27825f7a7262,o3: View Patient Forms,,
8da5b6f1-a689-4997-80bc-c4e5dd56b9d8,o3: View Notes,,
5496a424-c145-48c7-bc3b-278833646191,o3: View Test Results,,
2a341b9f-c5cf-4505-83ae-777998152572,o3: View Vitals and Biometrics,,
c905585f-4ae1-4810-9e89-e576d931372d,o3: View Patient Chart Test Results,,
cb2be93f-8092-4048-8ae6-45071b7d5748,o3: View Lab Results,,
9741ab3a-becb-49b7-af4a-b1bde7388ba8,o3: Mark Patient Alive/Dead,,
44d29281-6414-4bb0-bd64-d7c0ed96460a,o3: CheckIn/CheckOut Patient,,
cfa002eb-cbff-430b-93ae-adc93ac62169,o3: Cancel Patient Patient,,
d79fc240-dd97-42b7-85ab-77c59be74470,o3: View Patient Banner,,
