Uuid,Privilege name,Description,_order:1000
49b9a48f-3a2b-4861-a1c1-92686171e33c,o3: View Care Panels,,
02397fe0-4a80-49b6-961d-cc776b4a5e66,o3: View Patient Flags,,
6687fb9c-d9b5-4b40-b1ff-464cf8067f29,o3: View MCH,,
ec9651aa-c4c8-4d0a-8cad-826dd7ca5eb1,o3: View HTS,,
c359a69a-1efb-4145-804b-d961340de309,o3: View Default Tracing,,
092f11ae-2029-4f97-a278-29ce499d7fe9,o3: View Family History,,
064b94d7-153c-4cff-8d07-963981beb93b,o3: View Labour And Delivery,,
5b3eca76-5c06-4151-944b-7c7f500e1946,o3: View Clinical Views,,
27571ea9-922d-4724-9037-d17014d63d92,o3: View referrals,,
a0bd95f5-53f4-410d-a32c-deeecad134e5,o3: View Case Management,,
876f7a61-ea74-405b-815b-0ea381cfe0a6,o3: View Patient Chart Case Management,,
7371816a-5052-46cf-ba26-495560f6a369,o3: View Special Clinics,,
1177c2f1-7ebb-44b0-a542-6f130d6d8f5e,o3: View ENT Clinic,,
746eb50b-d9d1-4ef2-8197-41e3218fc22d,o3: View Opthamology Clinic,,
9ac44627-da83-4f9a-a39e-6f00f6990906,o3: View Orthopaedic Clinic,,
c3f44763-1274-49ff-b8d0-70d3c755e271,o3: View Occupational Therapy Clinic,,
7dea0b7f-b583-41b7-aad7-f6b1ea93a61a,o3: View Cardiology Clinic,,
5b31b94d-ca9e-4533-96d9-b471988c1c0a,o3: View Gastroentology Clinic,,
4219ad99-fa09-4b20-a719-9db42ad8bafc,o3: View Fertility Clinic,,
9382d87c-ff66-4950-83db-1b76641ee600,o3: View Renal Clinic,,
a38e016d-602a-4884-8f87-5df17bb9df6b,o3: View Physiotherapy Clinic,,
ff6f3ffd-fe3b-45be-b430-3f8d32fed1f9,o3: View Dental Clinic,,
14c86a16-13eb-4b0a-a54f-10b610d55074,o3: View Contact Listing,,
a71184a3-d466-47d4-9427-c63cf140998d,o3: View Nutrition Clinic,,
