Uuid,Privilege name,Description,_order:1000
91b0db36-05e3-4b77-9312-71dd9f2c9e8d,o3: View Clinical Encounter Dashboard,Allows access to view the clinical encounter dashboard,
808235fc-3703-4857-959b-6239f5086be0,o3: View Family History Dashboard,Permits viewing of the family history dashboard,
e14b37ee-e81b-41f5-96fe-a7df09fddae2,o3: View HIV & Care Dashboard,Enables access to the HIV and care dashboard,
8073e2e1-25b6-44bb-af78-6564ef0ce367,o3: View MCH Dashboard,Allows viewing of the Maternal and Child Health dashboard,
1e969749-f441-457d-8202-a54720e71c73,o3: View Patient Chart Case Management Dashboard,Permits access to the patient chart case management dashboard,
8a5be77a-8792-453a-bc46-64f400c98e9a,o3: View Patient Chart In-Patient Dashboard,Enables viewing of the patient chart in-patient dashboard,
29a36f6b-a771-4757-99e5-4f99f5f2e708,o3: View Patient Clinical View,Allows access to view the patient clinical information,
405c0531-7b04-4956-bce9-447e302c6fa3,o3: View Specialized Clinics,Permits viewing of specialized clinic information,
d3ad5432-4bf0-4a6e-b86f-7e983a0d178c,o3: View Case Management Dashboard,Allows access to view the case management dashboard,
eabfc50a-ea01-480d-832c-7996b4d39a82,o3: View Peer Calendar Dashboard,Allows access to view Peer calendar dashboard,
